repository,tool,rule_id,classification,reason,behavior_evidence,upstream_report
github/github-mcp-server,assign_copilot_to_issue,MCP003,INCONCLUSIVE,"The description's future pull-request outcome does not establish repeat-call semantics. The handler always sends updateIssue with agentAssignment and relies on GitHub's service to decide whether a repeat assignment is deduplicated or launches another agent run; the pinned source and public documentation do not resolve that behavior.","pkg/github/copilot.go:168 and pkg/github/copilot.go:347; GitHub documents that assignment starts agent work and later opens a pull request but does not document repeated identical assignment semantics.",not_applicable
github/github-mcp-server,assign_copilot_to_issue_with_intent,MCP003,INCONCLUSIVE,"The tool has suggestion and direct-assignment branches. Repeating a suggestion may replace the same intent while repeating a direct assignment may be deduplicated or may relaunch work; that behavior is delegated to GitHub and cannot be confirmed statically. Matching the word 'created' is not proof of non-idempotence.","pkg/github/copilot.go:517 and pkg/github/copilot.go:647-755 show object-form assignee replacement and an optional agentAssignment mutation.",not_applicable
github/github-mcp-server,list_notifications,MCP001,FALSE_POSITIVE,"The matched word 'updates' is a noun describing notifications. The handler only invokes GitHub list-notifications APIs and serializes their response.","pkg/github/notifications.go:29-155 calls Activity.ListNotifications or Activity.ListRepositoryNotifications.",not_applicable
github/github-mcp-server,search_issues,MCP001,FALSE_POSITIVE,"The matched word 'reset' occurs inside an example query ('password reset'). The handler performs issue search and read-only enrichment.","pkg/github/issues.go:1618-1698 defines the example; pkg/github/issues.go:2023-2060 calls client.Search.Issues.",not_applicable
korotovsky/slack-mcp-server,usergroups_list,MCP001,FALSE_POSITIVE,"'joining/updating' describes later uses of the returned group ID rather than this tool's behavior. The handler only retrieves and formats user groups.","pkg/server/server.go:443-459; pkg/handler/usergroups.go:42-91 calls GetUserGroupsContext.",not_applicable
makenotion/notion-mcp-server,API-retrieve-page-markdown,MCP001,FALSE_POSITIVE,"The matched 'update' is part of a 403 capability/error description. The operation is an HTTP GET and the generator marks GET operations read-only.","scripts/notion-openapi.json:2217-2220; src/openapi-mcp-server/mcp/proxy.ts:173-186.",not_applicable
microsoft/playwright-mcp,browser_hide_highlight,MCP001,FALSE_POSITIVE,"The handler removes only Playwright's transient diagnostic highlight overlay. It does not change application data or invoke a target-page action, so treating it as read-only for client confirmation purposes is reasonable even though the overlay's internal UI state changes.","Locked playwright-core lib/coreBundle.js:65911-65929 calls locator.hideHighlight or page.hideHighlight and declares type 'readOnly'.",not_applicable
modelcontextprotocol/servers,trigger-long-running-operation,MCP001,FALSE_POSITIVE,"'updates' refers to progress notifications. The tool waits and emits progress/result messages but does not mutate durable environment state.","src/everything/tools/trigger-long-running-operation.ts:15-77.",not_applicable
modelcontextprotocol/servers,trigger-elicitation-request,MCP004,FALSE_POSITIVE,"The request is sent to the already-connected MCP client and user within the current session rather than an unpredictable external entity. A closed-world annotation is reasonable.","src/everything/tools/trigger-elicitation-request.ts:8-56 uses extra.sendRequest for elicitation/create.",not_applicable
modelcontextprotocol/servers,simulate-research-query,MCP004,FALSE_POSITIVE,"This reference tool simulates research locally; its optional request is elicitation to the connected client. It does not perform web search or contact an open set of external entities.","src/everything/tools/simulate-research-query.ts:97 and :246-256.",not_applicable
modelcontextprotocol/servers,trigger-elicitation-request-async,MCP004,FALSE_POSITIVE,"The async requests and polling stay on the existing MCP client connection. The matched generic word 'request' does not establish open-world access.","src/everything/tools/trigger-elicitation-request-async.ts:6-220.",not_applicable
modelcontextprotocol/servers,write_file,MCP003,FALSE_POSITIVE,"Writing the same content to the same path repeatedly leaves the file contents in the same state. 'Create' and 'overwrite' do not by themselves make this PUT-like operation non-idempotent.","src/filesystem/index.ts:358-379 calls writeFileContent with the same path and content.",not_applicable
modelcontextprotocol/servers,create_directory,MCP003,FALSE_POSITIVE,"The implementation uses recursive mkdir and explicitly succeeds when the directory already exists; repeating identical arguments has no additional structural effect.","src/filesystem/index.ts:413-434 calls fs.mkdir(path, {recursive:true}).",not_applicable
modelcontextprotocol/servers,search_files,MCP004,FALSE_POSITIVE,"The search is restricted to configured local allowed directories. Its domain is closed even though the tool name contains 'search'.","src/filesystem/index.ts:645-669 validates the path and performs local glob search.",not_applicable
modelcontextprotocol/servers,get_file_info,MCP001,FALSE_POSITIVE,"'modified' is part of the metadata field 'last modified time'. The implementation only reads file metadata.","src/filesystem/index.ts:674-700 calls getFileStats; src/filesystem/lib.ts:287 uses fs.stat.",not_applicable
modelcontextprotocol/servers,search_nodes,MCP004,FALSE_POSITIVE,"The search operates over the server's local knowledge-graph file rather than an open set of external entities.","src/memory/index.ts:188-213 and :491-516 call KnowledgeGraphManager.searchNodes.",not_applicable
