sample_id,actual_value,classification,behavior_summary,implementation_evidence,external_evidence,justification,inconclusive_reason
S001,false,CORRECT,"The generated tool sends Notion's create-comment POST and creates a comment on a page or discussion.","scripts/notion-openapi.json:1512-1566; src/openapi-mcp-server/mcp/proxy.ts:195-241; src/openapi-mcp-server/client/http-client.ts:156-230",,"A successful path creates remote state, so actual readOnlyHint is false and matches the omission default.",
S002,false,CORRECT,"A cold-cache find_similar call can run web fallback and persist fetched content and embeddings in the tool's queryable cache.","src/tools/find-similar.ts:27-118; src/search/find-similar.ts:50-53,149-188; src/search/content-fetch.ts:151-180",,"The cache is a documented, user-observable tool feature rather than an incidental transparent cache; a supported path mutates it, so actual readOnlyHint is false.",
S003,false,CORRECT,"copy_file creates the destination and copies bytes to it, overwriting an existing destination through os.Create.","filesystemserver/handler/copy_file.go:108-149,175-202",,"A supported success path creates or overwrites a file, so actual readOnlyHint is false and matches the omission default.",
S004,false,CORRECT,"dbx_execute_query executes caller SQL and permits write-risk SQL when the server's write policy allows it.","crates/dbx-mcp/src/server.rs:307-392,977-1023; crates/dbx-core/src/agent_tools.rs:30-55,99-105",,"Ordinary supported configuration permits mutating SQL, so actual readOnlyHint is false and matches the omission default.",
S005,true,CONSERVATIVE_IMPRECISE,"fetch performs robots and target HTTP reads and returns converted content; the implementation has no intentional environment mutation.","src/fetch/src/mcp_server_fetch/server.py:66-148,223-255",,"Ignoring incidental remote access logs as preregistered, all successful paths are reads. Explicit readOnlyHint true would materially improve approval handling over the conservative false default.",
S006,false,CORRECT,"conversations_mark calls Slack's mark-conversation operation and changes the conversation read cursor.","pkg/handler/conversations.go:1342-1385; pkg/provider/api.go:394-396",,"The operation updates remote read state, so actual readOnlyHint is false and matches the omission default.",
S007,false,CORRECT,"conversations_add_message calls Slack PostMessage and creates a channel message; it may also mark the posted timestamp.","pkg/handler/conversations.go:206-284; pkg/provider/api.go:532-534",,"A successful path creates remote message state, so actual readOnlyHint is false and matches the omission default.",
S008,false,CORRECT,"usergroups_users_update sends a replacement member list to Slack's user-group update operation.","pkg/handler/usergroups.go:237-292; pkg/provider/api.go:600-602",,"The implementation mutates remote membership state, so actual readOnlyHint is false and matches the omission default.",
S009,true,CONSERVATIVE_IMPRECISE,"tree recursively stats and reads directories to construct a returned tree without writing filesystem state.","filesystemserver/handler/tree.go:13-218",,"All supported success paths are local filesystem reads. Explicit readOnlyHint true would materially improve approval handling over the conservative false default.",
S010,false,CORRECT,"The generated tool sends a PATCH whose schema appends child blocks to an existing Notion block or page.","scripts/notion-openapi.json:736-778; src/openapi-mcp-server/mcp/proxy.ts:195-241; src/openapi-mcp-server/client/http-client.ts:156-230",,"A successful path appends remote block state, so actual readOnlyHint is false and matches the omission default.",
S011,true,CORRECT,"merge_pull_request invokes GitHub's merge endpoint, changing the target branch and pull-request merge state.","pkg/github/pullrequests.go:1500-1605",,"Merging alters pre-existing repository and pull-request state, so actual destructiveHint is true and matches the omission default.",
S012,true,CORRECT,"dbx_remove_connection resolves a saved connection, invokes the removal backend, and removes it from the connected map.","crates/dbx-mcp/src/server.rs:620-659; crates/dbx-mcp/src/backend.rs:697-711",,"A successful path deletes pre-existing connection state, so actual destructiveHint is true and matches the omission default.",
S013,true,CORRECT,"The cache tool's clear action deletes selected or all persisted cache entries.","src/tools/cache.ts:28-110; src/cache/store.ts:531-560",,"A supported action deletes pre-existing cache records, so aggregate actual destructiveHint is true and matches the omission default.",
