repository,repository_url,stratum,stars,forks,language,mcp_sdk,pinned_commit,commit_date,tools_analyzed,extraction_status,selection_reason,extraction_note
mark3labs/mcp-filesystem-server,https://github.com/mark3labs/mcp-filesystem-server,filesystem,675,109,Go,github.com/mark3labs/mcp-go v0.32.0,ba3f07f22c309d932fa9b1cebe1eb7c55fcbb83b,2025-11-23,14,ANALYZED,Highest-starred eligible dedicated filesystem MCP server.,Static mcp.NewTool registrations in filesystemserver/server.go.
prest/prest,https://github.com/prest/prest,relational database,4610,315,Go,custom MCP JSON-RPC implementation,786d775439c29c2fa9afe401df755981da387b8d,2026-07-30,,INCONCLUSIVE_REPOSITORY,Highest-starred eligible PostgreSQL project explicitly shipping an MCP server.,Two generic tools are unconditional; up to three listing tools depend on exposure policy and per-table tool names/descriptions depend on a connected database catalog.
github/github-mcp-server,https://github.com/github/github-mcp-server,GitHub/developer workflow,32040,4750,Go,github.com/modelcontextprotocol/go-sdk v1.7.0,eb4c099e05ef622445e930b18682a0464f22418f,2026-08-07,85,ANALYZED,Highest-starred eligible result and official GitHub MCP server.,Local server tools/list with --toolsets=all and no feature flags; source literals used to distinguish omitted hints from Go zero-value serialization.
microsoft/playwright-mcp,https://github.com/microsoft/playwright-mcp,browser automation,35904,2994,TypeScript,Playwright internal MCP stack in locked playwright-core,7e0457a7cbf88823bf0146d12c46ae12c6818247,2026-08-07,42,ANALYZED,Highest-starred eligible dedicated Playwright MCP server.,tools/list with vision pdf and devtools capabilities enabled from the package-lock-pinned playwright-core dependency.
KnockOutEZ/wigolo,https://github.com/KnockOutEZ/wigolo,web/HTTP retrieval,4407,314,TypeScript,@modelcontextprotocol/sdk ^1.29.0,b3ccf92be3ac15ce3ad5a439be11777d992996a3,2026-08-01,10,ANALYZED,Highest-starred eligible web search/fetch/crawl MCP server.,Static ListToolsRequestSchema response in src/server.ts with descriptions from src/instructions.ts.
korotovsky/slack-mcp-server,https://github.com/korotovsky/slack-mcp-server,communication,1770,350,Go,github.com/mark3labs/mcp-go v0.44.0,b88c0de3f706f4f07337c9eda7133c736d1c9524,2026-05-15,22,ANALYZED,First eligible dedicated Slack server after three stratum mismatches.,All static registrations including environment-gated optional tools in pkg/server/server.go.
awslabs/mcp,https://github.com/awslabs/mcp,cloud infrastructure,9573,1700,Python,Python MCP SDK/FastMCP across server packages,7ad53dc06ff7999235ab5addbbbb98042718c33a,2026-08-07,,INCONCLUSIVE_REPOSITORY,First eligible AWS MCP server collection after excluding an MCP client.,Collection contains 59 server packages and runtime-generated tools from Lambda Step Functions OpenAPI and AWS service models; no credential-free configuration faithfully enumerates the repository-wide tool population.
makenotion/notion-mcp-server,https://github.com/makenotion/notion-mcp-server,productivity/knowledge management,4579,614,TypeScript,@modelcontextprotocol/sdk ^1.29.0,1d38420769c8a1fe2d583ff1e7d2d108d4eb0b30,2026-07-25,24,ANALYZED,Highest-starred eligible dedicated Notion MCP server.,Credential-free tools/list generated from checked-in scripts/notion-openapi.json.
t8y2/dbx,https://github.com/t8y2/dbx,cache/search/data store,13683,1405,Rust,rmcp 2.2.0,28b34918436f4901124304b8df8ac694234e9bc2,2026-08-08,12,ANALYZED,Highest-starred eligible data-store project with a built-in MCP server.,Static rmcp tool_router registrations in crates/dbx-mcp/src/server.rs.
modelcontextprotocol/servers,https://github.com/modelcontextprotocol/servers,reference/general purpose,89337,11404,TypeScript/Python,@modelcontextprotocol/sdk ^1.30.0 and Python mcp SDK,76d64c822f5125032f89eb71dbdb94e42b434821,2026-07-29,58,ANALYZED,Highest-starred eligible reference-server collection.,Combined tools/list from everything filesystem memory sequentialthinking git time and fetch reference servers; all advertised conditional Everything tools were enabled through client capabilities.
